iter	Logloss
0	0.6925965823
1	0.6921361617
2	0.6917289481
3	0.691362565
4	0.691007254
5	0.6907291919
6	0.6904731613
7	0.6902606815
8	0.6900762001
9	0.6899085421
10	0.6897443206
11	0.6896048177
12	0.6894695933
13	0.6893483105
14	0.6892343959
15	0.6891030977
16	0.6890041193
17	0.6889255065
18	0.6888614722
19	0.6888031107
20	0.688745646
21	0.6886651635
22	0.6886143823
23	0.6885635863
24	0.6885202319
25	0.6884581308
26	0.6884241724
27	0.6884057154
28	0.6883779049
29	0.6883437597
30	0.6883109496
31	0.6882729468
32	0.6882287069
33	0.6881811394
34	0.6881304661
35	0.6881086758
36	0.6880700556
37	0.6880517368
38	0.6880155086
39	0.6879859016
40	0.6879566374
41	0.6879440969
42	0.6879262268
43	0.6878981292
44	0.6878837427
45	0.6878436193
46	0.6878179617
47	0.6877836189
48	0.6877676355
49	0.6877312667
50	0.6877167454
51	0.6877052064
52	0.687687163
53	0.6876739299
54	0.6876596476
55	0.6876269693
56	0.6876065309
57	0.6875781811
58	0.687566204
59	0.6875479622
60	0.6875304324
61	0.6875237018
62	0.6875022026
63	0.6874874499
64	0.6874768517
65	0.6874545007
66	0.6874364812
67	0.6874208419
68	0.6873937571
69	0.6873737011
70	0.6873523168
71	0.6873127618
72	0.6872899626
73	0.6872485959
74	0.6872334026
75	0.6872186517
76	0.6871999471
77	0.6871814942
78	0.687156888
79	0.6871399769
80	0.6871215704
81	0.6870967464
82	0.68707974
83	0.6870529848
84	0.6870424938
85	0.6870063983
86	0.6869743195
87	0.6869610751
88	0.6869416124
89	0.6869172726
90	0.6868928922
91	0.6868752404
92	0.6868618931
93	0.6868514571
94	0.6868383601
95	0.6867957891
96	0.6867659394
97	0.6867551529
98	0.6867324897
99	0.6867041522
100	0.6866813663
101	0.686648817
102	0.6866281892
103	0.6866102949
104	0.6865918098
105	0.6865750842
106	0.6865383051
107	0.6865329242
108	0.6865087345
109	0.6864782037
110	0.6864581115
111	0.686449107
112	0.6864103634
113	0.686388859
114	0.686378968
115	0.6863754824
116	0.6863539875
117	0.6863437626
118	0.6863358952
119	0.6863200558
120	0.6863047471
121	0.6862870621
122	0.6862726668
123	0.6862526355
124	0.6862417882
125	0.6862216157
126	0.6861942664
127	0.6861758299
128	0.6861621005
129	0.6861359473
130	0.686105382
131	0.6860883059
132	0.6860620129
133	0.6860422552
134	0.6860209656
135	0.6860078172
136	0.685976302
137	0.6859523974
138	0.6859448108
139	0.6859263523
140	0.6858989933
141	0.6858713963
142	0.6858491313
143	0.6858314102
144	0.6858178054
145	0.6857940542
146	0.6857729905
147	0.6857362419
148	0.6857223314
149	0.6857057917
150	0.6856915934
151	0.68567137
152	0.6856456487
153	0.6856317647
154	0.6856214475
155	0.6856168543
156	0.6855845581
157	0.6855729184
158	0.6855644321
159	0.6855487513
160	0.6855308873
161	0.6855172489
162	0.6854982106
163	0.6854814965
164	0.6854563408
165	0.6854319604
166	0.6854160008
167	0.6853960328
168	0.6853795504
169	0.6853407533
170	0.6853154044
171	0.685299831
172	0.685272285
173	0.6852591428
174	0.6852447533
175	0.6852249808
176	0.6851997757
177	0.685183875
178	0.6851631221
179	0.6851269864
180	0.685103066
181	0.6850867001
182	0.6850413286
183	0.6850080598
184	0.6849874509
185	0.6849700183
186	0.6849377318
187	0.6848769225
188	0.6848101266
189	0.6847645934
190	0.6847198673
191	0.6847033663
192	0.6846791389
193	0.6846469536
194	0.6846008919
195	0.6845582369
196	0.6845050039
197	0.6844808095
198	0.6844495723
199	0.6844229968
200	0.6843797344
201	0.6843455497
202	0.6843053146
203	0.6842842492
204	0.6842559831
205	0.6842331509
206	0.6841952677
207	0.6841666805
208	0.6841324581
209	0.6840922571
210	0.6840638462
211	0.6840180104
212	0.6839685914
213	0.6839292437
214	0.683884408
215	0.6838316038
216	0.6837938844
217	0.6837496073
218	0.6837122458
219	0.6836629741
220	0.6836298893
221	0.6836008977
222	0.6835584996
223	0.683530609
224	0.6834893792
225	0.6834625296
226	0.6834215004
227	0.6833857223
228	0.6833523698
229	0.6833109925
230	0.6832815694
231	0.6832376295
232	0.683210455
233	0.6831669861
234	0.6831330919
235	0.683058338
236	0.6830179468
237	0.6829843744
238	0.6829396281
239	0.6829130527
240	0.6828710953
241	0.6828328484
242	0.6827994576
243	0.6827555479
244	0.6827220423
245	0.6826921316
246	0.6826370142
247	0.6825948472
248	0.6825734182
249	0.6825393874
250	0.6825075522
251	0.6824776745
252	0.6824309779
253	0.6823928525
254	0.68235924
255	0.682324021
256	0.6822866658
257	0.6822644109
258	0.6822283604
259	0.6822010553
260	0.6821593918
261	0.6821357745
262	0.6821027199
263	0.6820590411
264	0.6820111983
265	0.6819639991
266	0.6819192922
267	0.6818886097
268	0.6818451983
269	0.6818003871
270	0.6817698891
271	0.6817504554
272	0.6817124797
273	0.6816574984
274	0.6816214448
275	0.6815896957
276	0.681555948
277	0.6815247016
278	0.6814809029
279	0.6814468921
280	0.6814103083
281	0.6813794014
282	0.6813350772
283	0.6812802081
284	0.6812342519
285	0.6812044206
286	0.6811659483
287	0.6811387297
288	0.681106607
289	0.6810829864
290	0.6810513247
291	0.6810190427
292	0.6809792507
293	0.6809206309
294	0.6808648915
295	0.6808297737
296	0.6807995473
297	0.6807624694
298	0.6807235948
299	0.6806805439
300	0.6806318362
301	0.6806011558
302	0.6805600695
303	0.6805382655
304	0.6805118625
305	0.6804659397
306	0.6804232698
307	0.680398156
308	0.6803726562
309	0.6803445022
310	0.6802976752
311	0.680263828
312	0.6802289483
313	0.6801736603
314	0.6801447087
315	0.680120496
316	0.6800879391
317	0.6800486977
318	0.6800178226
319	0.6799802599
320	0.6799223185
321	0.6798869352
322	0.6798511933
323	0.6798237569
324	0.679798643
325	0.6797617963
326	0.6797184555
327	0.6796735824
328	0.6796528004
329	0.6796128833
330	0.6795615311
331	0.6795227832
332	0.6794708911
333	0.6794430304
334	0.6794110185
335	0.6793619005
336	0.6793290829
337	0.679292521
338	0.6792491365
339	0.679214397
340	0.6791824333
341	0.6791361171
342	0.6791058653
343	0.6790665044
344	0.6790385474
345	0.6790099053
346	0.6789740733
347	0.6789376974
348	0.6788959189
349	0.6788464623
350	0.6788007951
351	0.678758724
352	0.6787221459
353	0.6786909151
354	0.6786496033
355	0.6785947459
356	0.6785639303
357	0.6785366717
358	0.6785004497
359	0.6784674805
360	0.6784245129
361	0.6783882675
362	0.6783646964
363	0.6783277917
364	0.6782974388
365	0.67826242
366	0.6782378744
367	0.6782217284
368	0.6781853575
369	0.6781518093
370	0.6781258119
371	0.6780925232
372	0.6780579696
373	0.6780323942
374	0.6779954759
375	0.6779720213
376	0.6779320679
377	0.677891503
378	0.6778575063
379	0.677800633
380	0.6777821185
381	0.6777355303
382	0.6777117159
383	0.6776786326
384	0.677634796
385	0.6776093048
386	0.6775916036
387	0.6775517659
388	0.6774995677
389	0.6774679015
390	0.6774358479
391	0.6774079767
392	0.6773760437
393	0.6773491986
394	0.6773011168
395	0.6772687734
396	0.6772301242
397	0.6771950412
398	0.677165185
399	0.6771302402
400	0.677078719
401	0.677031328
402	0.6770018392
403	0.6769862961
404	0.6769635723
405	0.6769299504
406	0.676894062
407	0.6768545459
408	0.6768084634
409	0.6767627877
410	0.6767281126
411	0.6766629191
412	0.6766369841
413	0.6766116899
414	0.6765684831
415	0.6765266816
416	0.6765103213
417	0.6764787934
418	0.6764485845
419	0.6764197702
420	0.6763849591
421	0.6763605801
422	0.6763420039
423	0.6763073998
424	0.6762922517
425	0.676267009
426	0.6762347606
427	0.6761945266
428	0.6761645458
429	0.6761272041
430	0.6760757215
431	0.6760301184
432	0.6760089684
433	0.6759865151
434	0.6759485517
435	0.6758829622
436	0.6758626647
437	0.6758054102
438	0.6757693227
439	0.6757234582
440	0.6756999879
441	0.6756721891
442	0.6756420147
443	0.6756218718
444	0.6755785705
445	0.6755548364
446	0.6755140794
447	0.6754813887
448	0.6754542776
449	0.6754187272
450	0.6753951372
451	0.6753534868
452	0.6753115434
453	0.6752743803
454	0.6752455963
455	0.6752152862
456	0.6751797041
457	0.6751516176
458	0.6751204302
459	0.6750801502
460	0.6750564483
461	0.6750297784
462	0.6749925117
463	0.6749253817
464	0.6749041929
465	0.6748766146
466	0.6748207929
467	0.6747907029
468	0.6747658797
469	0.67473461
470	0.6746957733
471	0.6746263872
472	0.67459901
473	0.674564919
474	0.6745219805
475	0.674497327
476	0.6744584975
477	0.6744044331
478	0.6743549047
479	0.6743335854
480	0.6742999051
481	0.6742595423
482	0.6742312344
483	0.6741965949
484	0.6741823626
485	0.6741589467
486	0.6741366842
487	0.6740974584
488	0.6740568991
489	0.6740221411
490	0.673991512
491	0.6739562783
492	0.6739408411
493	0.6739163399
494	0.6738737847
495	0.6738191517
496	0.6737779895
497	0.6737597337
498	0.6737242977
499	0.6736911979
500	0.673643602
501	0.6736208372
502	0.6735916088
503	0.6735740639
504	0.6735330047
505	0.6735138618
506	0.6734872104
507	0.6734590066
508	0.6734218561
509	0.6733470807
510	0.6733159434
511	0.6732896002
512	0.6732707925
513	0.6732437641
514	0.6732157885
515	0.6731887329
516	0.6731718116
517	0.6731329712
518	0.6730959547
519	0.6730377519
520	0.6730098951
521	0.6730001519
