iter	Passed	Remaining
0	103	103028
1	159	79741
2	221	73478
3	286	71222
4	379	75586
5	475	78800
6	562	79802
7	618	76710
8	676	74503
9	744	73659
10	806	72519
11	860	70857
12	912	69293
13	964	67919
14	1019	66921
15	1146	70526
16	1228	71046
17	1495	81614
18	1695	87521
19	1779	87202
20	1897	88452
21	1990	88484
22	2163	91909
23	2245	91309
24	2326	90740
25	2432	91131
26	2479	89349
27	2524	87641
28	2573	86161
29	2629	85013
30	2688	84041
31	2736	82791
32	2794	81877
33	2842	80763
34	2898	79905
35	2953	79077
36	3003	78169
37	3062	77519
38	3123	76972
39	3181	76350
40	3238	75755
41	3288	75006
42	3346	74478
43	3400	73889
44	3457	73374
45	3517	72958
46	3567	72330
47	3626	71923
48	3683	71499
49	3744	71149
50	3802	70758
51	3856	70302
52	3912	69906
53	3956	69313
54	4009	68887
55	4062	68475
56	4110	68006
57	4166	67665
58	4208	67120
59	4260	66748
60	4316	66452
61	4381	66281
62	4441	66055
63	4506	65905
64	4571	65759
65	4634	65584
66	4703	65502
67	4763	65288
68	4819	65022
69	4878	64807
70	4938	64612
71	5002	64471
72	5064	64314
73	5123	64110
74	5184	63947
75	5239	63696
76	5287	63381
77	5346	63202
78	5403	62997
79	5460	62797
80	5514	62567
81	5573	62398
82	5623	62134
83	5685	61995
84	5744	61836
85	5791	61547
86	5842	61312
87	5895	61101
88	5950	60913
89	6003	60702
90	6054	60474
91	6111	60318
92	6187	60348
93	6245	60197
94	6298	59996
95	6355	59845
96	6414	59712
97	6467	59524
98	6527	59410
99	6583	59247
100	6633	59040
101	6687	58875
102	6737	58675
103	6791	58513
104	6844	58342
105	6901	58203
106	6957	58069
107	7003	57840
108	7060	57716
109	7117	57585
110	7171	57437
111	7230	57325
112	7284	57180
113	7335	57014
114	7392	56890
115	7425	56589
116	7480	56456
117	7529	56276
118	7579	56117
119	7637	56005
120	7693	55886
121	7751	55784
122	7809	55684
123	7874	55630
124	7928	55496
125	7985	55389
126	8042	55286
127	8098	55171
128	8161	55107
129	8225	55044
130	8283	54950
131	8341	54853
132	8391	54700
133	8450	54612
134	8505	54495
135	8561	54392
136	8618	54289
137	8675	54193
138	8727	54063
139	8784	53961
140	8842	53869
141	8900	53780
142	8959	53691
143	9013	53579
144	9066	53462
145	9125	53380
146	9183	53286
147	9242	53205
148	9301	53122
149	9360	53040
150	9416	52944
151	9466	52811
152	9526	52740
153	9586	52662
154	9644	52578
155	9690	52425
156	9748	52342
157	9805	52256
158	9865	52179
159	9924	52101
160	9983	52025
161	10044	51958
162	10100	51865
163	10164	51813
164	10219	51714
165	10280	51651
166	10331	51535
167	10388	51448
168	10447	51370
169	10498	51259
170	10555	51173
171	10614	51098
172	10668	50999
173	10726	50917
174	10775	50800
175	10833	50718
176	10893	50653
177	10950	50569
178	11001	50458
179	11060	50386
180	11115	50296
181	11172	50214
182	11236	50167
183	11294	50090
184	11350	50005
185	11410	49935
186	11465	49848
187	11522	49768
188	11582	49701
189	11642	49634
190	11700	49558
191	11757	49479
192	11817	49411
193	11879	49353
194	11937	49281
195	11987	49172
196	12045	49100
197	12104	49027
198	12160	48949
199	12214	48857
200	12276	48801
201	12338	48742
202	12395	48666
203	12453	48593
204	12509	48511
205	12558	48404
206	12614	48324
207	12670	48245
208	12731	48186
209	12793	48127
210	12854	48066
211	12913	48000
212	12974	47937
213	13038	47887
214	13090	47793
215	13144	47711
216	13209	47662
217	13272	47610
218	13329	47535
219	13388	47467
220	13451	47415
221	13508	47339
222	13571	47287
223	13629	47217
224	13693	47167
225	13752	47098
226	13804	47009
227	13862	46939
228	13920	46868
229	13974	46783
230	14026	46693
231	14086	46630
232	14138	46543
233	14201	46487
234	14247	46380
235	14299	46290
236	14348	46194
237	14401	46110
238	14457	46034
239	14517	45970
240	14572	45893
241	14636	45843
242	14686	45751
243	14739	45669
244	14798	45602
245	14854	45529
246	14913	45464
247	14975	45410
248	15033	45343
249	15088	45266
250	15142	45187
251	15200	45118
252	15254	45039
253	15312	44973
254	15372	44912
255	15429	44842
256	15490	44783
257	15543	44703
258	15599	44630
259	15655	44557
260	15708	44478
261	15760	44392
262	15816	44322
263	15871	44248
264	15929	44182
265	15989	44122
266	16045	44048
267	16123	44038
268	16209	44049
269	16317	44118
270	16500	44387
271	16618	44478
272	16680	44419
273	16756	44398
274	16840	44397
275	16928	44406
276	17014	44409
277	17070	44334
278	17125	44256
279	17188	44198
280	17247	44130
281	17301	44050
282	17357	43977
283	17414	43904
284	17475	43841
285	17529	43761
286	17583	43683
287	17638	43605
288	17694	43532
289	17752	43464
290	17807	43386
291	17861	43308
292	17919	43239
293	17981	43179
294	18037	43107
295	18094	43035
296	18154	42972
297	18213	42905
298	18272	42838
299	18331	42772
300	18385	42696
301	18443	42628
302	18500	42557
303	18559	42491
304	18614	42415
305	18669	42341
306	18725	42270
307	18782	42198
308	18837	42126
309	18888	42042
310	18944	41970
311	19004	41907
312	19064	41844
313	19121	41775
314	19182	41713
315	19236	41637
316	19293	41569
317	19348	41496
318	19401	41418
319	19460	41353
320	19516	41283
321	19575	41217
322	19630	41144
323	19686	41073
324	19743	41005
325	19799	40934
326	19858	40870
327	19911	40794
328	19966	40722
329	20024	40656
330	20082	40589
331	20141	40525
332	20197	40455
333	20253	40385
334	20309	40316
335	20365	40245
336	20424	40183
337	20482	40117
338	20546	40062
339	20600	39990
340	20665	39936
341	20723	39871
342	20779	39802
343	20835	39732
344	20897	39674
345	20948	39597
346	21007	39532
347	21068	39472
348	21126	39407
349	21185	39344
350	21243	39278
351	21302	39216
352	21361	39152
353	21422	39093
354	21479	39025
355	21540	38966
356	21597	38899
357	21661	38845
358	21717	38777
359	21778	38716
360	21835	38651
361	21896	38591
362	21959	38535
363	22010	38458
364	22065	38388
365	22127	38329
366	22188	38269
367	22246	38206
368	22300	38135
369	22357	38067
370	22409	37993
371	22464	37923
372	22520	37856
373	22577	37790
374	22635	37725
375	22691	37658
376	22745	37586
377	22796	37511
378	22851	37442
379	22904	37371
380	22955	37295
381	23010	37226
382	23065	37157
383	23117	37084
384	23173	37016
385	23235	36959
386	23290	36890
387	23346	36824
388	23404	36761
389	23457	36689
390	23517	36629
391	23575	36565
392	23630	36497
393	23691	36438
394	23750	36377
395	23807	36312
396	23868	36254
397	23922	36184
398	23978	36117
399	24033	36050
400	24092	35987
401	24147	35921
402	24203	35854
403	24259	35789
404	24311	35717
405	24367	35651
406	24422	35584
407	24478	35518
408	24536	35455
409	24591	35387
410	24648	35323
411	24706	35260
412	24759	35190
413	24815	35125
414	24871	35060
415	24934	35004
416	24992	34941
417	25051	34880
418	25098	34802
419	25155	34739
420	25212	34674
421	25271	34613
422	25326	34546
423	25384	34484
424	25439	34418
425	25498	34357
426	25558	34297
427	25617	34236
428	25675	34174
429	25730	34107
430	25790	34047
431	25846	33983
432	25904	33921
433	25965	33862
434	26016	33792
435	26076	33731
436	26133	33668
437	26194	33609
438	26252	33548
439	26308	33483
440	26367	33422
441	26427	33363
442	26483	33298
443	26534	33228
444	26597	33171
445	26654	33109
446	26715	33050
447	26772	32986
448	26828	32923
449	26885	32859
450	26942	32796
451	26999	32733
452	27052	32666
453	27106	32600
454	27162	32535
455	27214	32466
456	27273	32405
457	27331	32343
458	27384	32277
459	27447	32220
460	27499	32152
461	27556	32089
462	27610	32023
463	27666	31959
464	27721	31894
465	27779	31833
466	27839	31773
467	27899	31714
468	27959	31656
469	28016	31592
470	28069	31526
471	28125	31462
472	28184	31401
473	28232	31330
474	28290	31267
475	28347	31206
476	28402	31141
477	28464	31084
478	28526	31027
479	28582	30964
480	28638	30900
481	28693	30837
482	28751	30775
483	28810	30714
484	28864	30649
485	28919	30586
486	28978	30525
487	29034	30462
488	29096	30405
489	29150	30340
490	29204	30275
491	29255	30206
492	29312	30145
493	29368	30081
494	29427	30021
495	29491	29966
496	29552	29909
497	29609	29847
498	29665	29784
499	29718	29718
500	29777	29658
